code	name
3comcorp	3Com Corp
3mcompany	3M Company
agedwards	A.G. Edwards Inc.
abbottlaboratories	Abbott Laboratories
abercrombie	Abercrombie & Fitch Co.
abmindustries	ABM Industries Incorporated
acehardware	Ace Hardware Corporation
actmanufacturing	ACT Manufacturing Inc.
acternacorp	Acterna Corp.
adamsresources	Adams Resources & Energy, Inc.
adctelecommunications	ADC Telecommunications, Inc.
adelphiacommunications	Adelphia Communications Corporation
administaffinc	Administaff, Inc.
adobesystems	Adobe Systems Incorporated
adolphcoors	Adolph Coors Company
advanceauto	Advance Auto Parts, Inc.
advancedmicro	Advanced Micro Devices, Inc.
advancepcsinc	AdvancePCS, Inc.
advanticarestaurant	Advantica Restaurant Group, Inc.
theaes	The AES Corporation
aetnainc	Aetna Inc.
affiliatedcomputer	Affiliated Computer Services, Inc.
aflacincorporated	AFLAC Incorporated
agcocorporation	AGCO Corporation
agilenttechnologies	Agilent Technologies, Inc.
agwayinc	Agway Inc.
apartmentinvestment	Apartment Investment and Management Company
airproducts	Air Products and Chemicals, Inc.
airborneinc	Airborne, Inc.
airgasinc	Airgas, Inc.
aksteel	AK Steel Holding Corporation
alaskaair	Alaska Air Group, Inc.
albertoculvercompany	Alberto-Culver Company
albertsonsinc	Albertson's, Inc.
alcoainc	Alcoa Inc.
alleghanycorporation	Alleghany Corporation
alleghenyenergy	Allegheny Energy, Inc.
alleghenytechnologies	Allegheny Technologies Incorporated
allerganinc	Allergan, Inc.
alleteinc	ALLETE, Inc.
alliantenergy	Alliant Energy Corporation
alliedwaste	Allied Waste Industries, Inc.
allmericafinancial	Allmerica Financial Corporation
theallstate	The Allstate Corporation
alltelcorporation	ALLTEL Corporation
thealpine	The Alpine Group, Inc.
amazoncominc	Amazon.com, Inc.
amcentertainment	AMC Entertainment Inc.
americanpower	American Power Conversion Corporation
ameradahess	Amerada Hess Corporation
amerco	AMERCO
amerencorporation	Ameren Corporation
americawest	America West Holdings Corporation
americanaxle	American Axle & Manufacturing Holdings, Inc.
americaneagle	American Eagle Outfitters, Inc.
americanelectric	American Electric Power Company, Inc.
americanexpress	American Express Company
americanfinancial	American Financial Group, Inc.
americangreetings	American Greetings Corporation
americaninternational	American International Group, Inc.
americanstandard	American Standard Companies Inc.
americanwater	American Water Works Company, Inc.
amerisourcebergencorporation	AmerisourceBergen Corporation
amesdepartment	Ames Department Stores, Inc.
amgeninc	Amgen Inc.
amkortechnology	Amkor Technology, Inc.
amrcorporation	AMR Corporation
amsouthbancorp	AmSouth Bancorp.
amtraninc	Amtran, Inc.
anadarkopetroleum	Anadarko Petroleum Corporation
analogdevices	Analog Devices, Inc.
anheuserbuschcompanies	Anheuser-Busch Companies, Inc.
anixterinternational	Anixter International Inc.
anntaylorinc	AnnTaylor Inc.
antheminc	Anthem, Inc.
aoltime	AOL Time Warner Inc.
aoncorporation	Aon Corporation
apachecorporation	Apache Corporation
applecomputer	Apple Computer, Inc.
appleracorporation	Applera Corporation
appliedindustrial	Applied Industrial Technologies, Inc.
appliedmaterials	Applied Materials, Inc.
aquilainc	Aquila, Inc.
aramarkcorporation	ARAMARK Corporation
archcoal	Arch Coal, Inc.
archerdaniels	Archer Daniels Midland Company
arkansasbest	Arkansas Best Corporation
armstrongholdings	Armstrong Holdings, Inc.
arrowelectronics	Arrow Electronics, Inc.
arvinmeritorinc	ArvinMeritor, Inc.
ashlandinc	Ashland Inc.
astoriafinancial	Astoria Financial Corporation
attcorp	AT&T Corp.
atmelcorporation	Atmel Corporation
atmosenergy	Atmos Energy Corporation
audiovoxcorporation	Audiovox Corporation
autolivinc	Autoliv, Inc.
automaticdata	Automatic Data Processing, Inc.
autonationinc	AutoNation, Inc.
autozoneinc	AutoZone, Inc.
avayainc	Avaya Inc.
averydennison	Avery Dennison Corporation
avistacorporation	Avista Corporation
avnetinc	Avnet, Inc.
avonproducts	Avon Products, Inc.
bakerhughes	Baker Hughes Incorporated
ballcorporation	Ball Corporation
bankof	Bank of America Corporation
thebank	The Bank of New York Company, Inc.
bankone	Bank One Corporation
banknorthgroup	Banknorth Group, Inc.
bantacorporation	Banta Corporation
barnes	Barnes & Noble, Inc.
bausch	Bausch & Lomb Incorporated
baxterinternational	Baxter International Inc.
bbtcorporation	BB&T Corporation
thebear	The Bear Stearns Companies Inc.
beazerhomes	Beazer Homes USA, Inc.
beckmancoulter	Beckman Coulter, Inc.
bectondickinson	Becton, Dickinson and Company
bedbath	Bed Bath & Beyond Inc.
belkinc	Belk, Inc.
bellmicroproducts	Bell Microproducts Inc.
bellsouthcorporation	BellSouth Corporation
belocorp	Belo Corp.
bemiscompany	Bemis Company, Inc.
benchmarkelectronics	Benchmark Electronics, Inc.
berkshirehathaway	Berkshire Hathaway Inc.
bestbuy	Best Buy Co., Inc.
bethlehemsteel	Bethlehem Steel Corporation
beverlyenterprises	Beverly Enterprises, Inc.
biglots	Big Lots, Inc.
bjservices	BJ Services Company
bjswholesale	BJ's Wholesale Club, Inc.
theblack	The Black & Decker Corporation
blackhills	Black Hills Corporation
bmcsoftware	BMC Software, Inc.
theboeing	The Boeing Company
boisecascade	Boise Cascade Corporation
bordersgroup	Borders Group, Inc.
borgwarnerinc	BorgWarner Inc.
bostonscientific	Boston Scientific Corporation
bowaterincorporated	Bowater Incorporated
briggs	Briggs & Stratton Corporation
brightpointinc	Brightpoint, Inc.
brinkerinternational	Brinker International, Inc.
bristolmyerssquibb	Bristol-Myers Squibb Company
broadwinginc	Broadwing, Inc.
brownshoe	Brown Shoe Company, Inc.
brownformancorporation	Brown-Forman Corporation
brunswickcorporation	Brunswick Corporation
budgetgroup	Budget Group, Inc.
burlingtoncoat	Burlington Coat Factory Warehouse Corporation
burlingtonindustries	Burlington Industries, Inc.
burlingtonnorthern	Burlington Northern Santa Fe Corporation
burlingtonresources	Burlington Resources Inc.
ch	C. H. Robinson Worldwide Inc.
cablevisionsystems	Cablevision Systems Corp
cabotcorp	Cabot Corp
cadencedesign	Cadence Design Systems, Inc.
calpinecorp	Calpine Corp.
campbellsoup	Campbell Soup Co.
capitalone	Capital One Financial Corp.
cardinalhealth	Cardinal Health Inc.
caremarkrx	Caremark Rx Inc.
carlislecos	Carlisle Cos. Inc.
carpentertechnology	Carpenter Technology Corp.
caseysgeneral	Casey's General Stores Inc.
caterpillarinc	Caterpillar Inc.
cbrlgroup	CBRL Group Inc.
cdicorp	CDI Corp.
cdwcomputer	CDW Computer Centers Inc.
cellstarcorp	CellStar Corp.
cendantcorp	Cendant Corp
cenexharvest	Cenex Harvest States Cooperatives
centexcorp	Centex Corp.
centurytelinc	CenturyTel Inc.
ceridiancorp	Ceridian Corp.
ch2mhill	CH2M Hill Cos. Ltd.
championenterprises	Champion Enterprises Inc.
charlesschwab	Charles Schwab Corp.
charmingshoppes	Charming Shoppes Inc.
chartercommunications	Charter Communications Inc.
charterone	Charter One Financial Inc.
chevrontexacocorp	ChevronTexaco Corp.
chiquitabrands	Chiquita Brands International Inc.
chubbcorp	Chubb Corp
cienacorp	Ciena Corp.
cignacorp	Cigna Corp
cincinnatifinancial	Cincinnati Financial Corp.
cinergycorp	Cinergy Corp.
cintascorp	Cintas Corp.
circuitcity	Circuit City Stores Inc.
ciscosystems	Cisco Systems Inc.
citigroupinc	Citigroup, Inc
citizenscommunications	Citizens Communications Co.
ckerestaurants	CKE Restaurants Inc.
